osm_type,osm_id,lat,lon,housenumber,street,unit,city,state,postcode,country,full_address,nearest_segment_id,nearest_from_node,nearest_to_node,nearest_street_name,distance_to_road_m
way,150821694,29.642767488455775,-82.34613746497607,1041,Center Drive,,Gainesville,FL,32611,,"1041 Center Drive, Gainesville FL 32611",103033,84909959,84869333,Center Drive,59.98
node,5458861491,29.0906415,-82.2464996,7651,Southwest State Road 200,306,Ocala,FL,34476,,"7651 Southwest State Road 200 #306, Ocala FL 34476",69373,2151875629,2151875627,,59.99
way,557842799,29.628548628715887,-82.39592452993033,2650,Bass Pro Shops Blvd,,Gainesville,FL,32608,US,"2650 Bass Pro Shops Blvd, Gainesville FL 32608, US",109799,4158663130,4158663129,Bass Pro Shops Boulevard,60.02
way,897793542,29.164605947250543,-82.16966002508701,2750,Southwest College Road,,Ocala,FL,34474,,"2750 Southwest College Road, Ocala FL 34474",72944,4934771737,98897882,Southwest College Road,60.05
node,12590502401,29.6727541,-82.3397608,1349,Northwest 23rd Avenue,,,,32605,,"1349 Northwest 23rd Avenue, 32605",102028,84899307,4546750438,Northwest 13th Street,60.09
node,4168346773,29.6400966,-82.442852,9416,Southwest 14th Avenue,,Gainesville,FL,,US,"9416 Southwest 14th Avenue, Gainesville FL, US",90253,84830551,84912282,Southwest 14th Avenue,60.13
way,296738967,29.635451392394142,-82.36465666126246,1786,IFAS Research Drive,,Gainesville,FL,32611,,"1786 IFAS Research Drive, Gainesville FL 32611",108495,2977631331,3005474320,Surge Area Drive;Citrus Road;Natural Area Drive,60.15
node,13430728056,29.1712693,-82.1797132,3435,SW 20th St,125,Ocala,FL,34474,,"3435 SW 20th St #125, Ocala FL 34474",75224,9939814128,9939814129,,60.19
node,13485226961,29.127824,-82.2202346,6150,SW 60th Ave,1203,Ocala,FL,34474,,"6150 SW 60th Ave #1203, Ocala FL 34474",55553,98834931,3605917109,Southwest 59th Street,60.22
way,1020334451,29.050040291588296,-82.44813362102516,19783,East Pennsylvania Avenue,,Dunnellon,,34431,,"19783 East Pennsylvania Avenue, Dunnellon 34431",60839,98876849,98924418,East Pennsylvania Avenue,60.22
node,4497649593,29.6006309,-82.4484759,5726,Southwest 99th Street,,Gainesville,FL,,US,"5726 Southwest 99th Street, Gainesville FL, US",80421,84858639,84864135,Southwest 99th Street,60.23
node,4165814722,29.627893,-82.4628076,11319,Southwest 27th Avenue,,Gainesville,FL,,US,"11319 Southwest 27th Avenue, Gainesville FL, US",111901,7025986089,6060333070,Southwest 27th Avenue,60.25
node,12664562406,29.1154531,-82.221261,6179,SW State Road 200,,Ocala,FL,34476,,"6179 SW State Road 200, Ocala FL 34476",69415,2151875677,2151875671,,60.26
node,4165814700,29.6289189,-82.457934,10828,Southwest 27th Avenue,,Gainesville,FL,,US,"10828 Southwest 27th Avenue, Gainesville FL, US",89313,84826502,6060333073,Southwest 27th Avenue,60.27
way,1006610670,29.153536802314957,-82.18628935680238,3580,Southwest 38th Avenue,,Ocala,FL,34474,,"3580 Southwest 38th Avenue, Ocala FL 34474",57682,98849483,98911342,Southwest 38th Avenue,60.32
way,150821697,29.643404667101027,-82.34630614148968,945,Center Drive,,Gainesville,FL,32611,,"945 Center Drive, Gainesville FL 32611",103033,84909959,84869333,Center Drive,60.32
node,13485226967,29.127824,-82.2203583,6150,SW 60th Ave,1204,Ocala,FL,34474,,"6150 SW 60th Ave #1204, Ocala FL 34474",55553,98834931,3605917109,Southwest 59th Street,60.39
